[00:01.220 --> 00:04.000]  Reliable controls, Thomas speaking.
[00:04.600 --> 00:06.980]  Hey Thomas, it's Spencer with Roll Prince George. How's it going?
[00:07.660 --> 00:09.040]  Not bad.
[00:11.540 --> 00:16.020]  I'm having some issues with some firmware. I'm trying to send
[00:16.020 --> 00:20.000]  7.91 to a panel that is currently on 7.68
[00:20.000 --> 00:24.420]  and it did fail, so I assume I have to do
[00:24.420 --> 00:27.300]  a jump somewhere in between to like 7.78 maybe?
[00:27.860 --> 00:31.580]  I didn't think you did too. What's it failing?
[00:31.840 --> 00:34.620]  Is it just timing out? Is it...
[00:34.620 --> 00:37.220]  It kind of looks like it's just timing out.
[00:39.200 --> 00:43.600]  It doesn't even show it sending packets. It just shows it like...
[00:43.600 --> 00:45.100]  Oh, tries and it just fails.
[00:46.100 --> 00:49.380]  And it just comes up with fail after like 30 seconds.
[00:51.000 --> 00:54.900]  Now when I look at the controller now, yeah, absolutely.
[00:59.900 --> 01:02.760]  The panel is showing 7.91 now.
[01:04.100 --> 01:06.940]  Oh, alright. So it did go through or
[01:06.940 --> 01:10.960]  it didn't? Cause sometimes on the end it will
[01:10.960 --> 01:14.920]  fail. Well no, it didn't even show it sending any
[01:14.920 --> 01:18.800]  packets. It failed us in about 30 seconds. So in studio it's saying
[01:18.800 --> 01:22.100]  mock pro web server cleared, OS send required.
[01:24.800 --> 01:27.060]  Oh man, you're done. I mean...
[01:27.060 --> 01:31.060]  And when I go to... yeah, exactly. When I go to
[01:31.060 --> 01:34.980]  properties on it, under software it says initializing please wait.
[01:37.580 --> 01:39.420]  Alright, well let's go take a look and
[01:39.420 --> 01:42.840]  see what we can figure out here. So if you go to
[01:43.920 --> 01:47.080]  rcsupport.screenconnect.com
[01:52.860 --> 01:56.420]  Okay, what's the code? It's going to be D
[01:56.420 --> 02:00.080]  capital D as in delta 43896.
[02:16.420 --> 02:17.380]  Downloading something.
[02:18.780 --> 02:20.880]  Do I need to extract it and all that kind of jazz?
[02:21.860 --> 02:24.280]  Potentially, I don't know. They changed it recently again.
[02:25.540 --> 02:27.060]  Oh, did they? Okay.
[02:34.800 --> 02:36.500]  Looks like it might work.
[03:03.880 --> 03:06.120]  Okay, just connecting right now.
[03:07.960 --> 03:08.760]  I'm in!
[03:10.160 --> 03:12.900]  You are in. So at the bottom we got studio
[03:12.900 --> 03:15.100]  and toolkit open.
[03:16.760 --> 03:19.560]  Which screen are we on? The other one.
[03:19.660 --> 03:20.920]  The other one on the other side.
[03:24.760 --> 03:28.780]  Alright, let's connect and let's see what's going on. So are you able to connect to
[03:28.780 --> 03:31.680]  the controller at all now? Yeah.
[03:34.780 --> 03:36.480]  No drive for three hours?
[03:36.480 --> 03:36.720]  That's weird.
[03:39.040 --> 03:42.220]  They're in town anyway so it's not the end of the world if I go to go to site.
[03:43.220 --> 03:46.940]  It is this guy. It's showing 791
[03:47.660 --> 03:49.600]  even though it didn't really send anything.
[03:50.320 --> 03:53.260]  Alright, well we'll try it again just to make sure I guess.
[03:54.240 --> 03:57.080]  And you got a panel file backup and everything from that controller?
[03:57.820 --> 03:58.920]  I do, yeah.
[03:58.920 --> 04:00.540]  Perfect. Good work.
[04:02.880 --> 04:04.660]  Yeah, step one. Check.
[04:06.140 --> 04:09.080]  You'd be surprised how many times people fail on that one.
[04:11.060 --> 04:12.500]  Yeah, fair enough.
[04:14.000 --> 04:16.440]  Okay, so I got 791 there on my desktop.
[04:23.360 --> 04:25.940]  Go to web, 791.
[04:29.980 --> 04:31.340]  And panel one.
[04:33.660 --> 04:35.660]  I didn't see what you connected to
[04:35.660 --> 04:38.040]  but you connected RCP, right? Not BACnet?
[04:38.960 --> 04:43.800]  I did, yeah. Okay, good. Yeah, it looks like the RCP screen but I just wanted to make sure.
[04:47.890 --> 04:50.010]  At least I believe I did. It was in my brain that
[04:50.010 --> 04:53.570]  that's what it looks like. No, no, the screen looks correct.
[04:55.170 --> 04:55.810]  Okay, good.
[04:59.710 --> 05:04.470]  So it just times out here. I've tried it about three times now. It times out and just says failed.
[05:14.540 --> 05:15.560]  And then I did
[05:15.560 --> 05:19.240]  a warm start afterwards and that didn't seem to help.
[05:24.440 --> 05:25.620]  There you go.
[05:51.440 --> 05:53.380]  Remember what these folders were called.
[05:54.240 --> 05:58.020]  Let's just try this one. Bottom. It goes to that one. Perfect.
[05:58.600 --> 06:01.340]  This was a Procom web, okay?
[06:25.010 --> 06:26.370]  What do you think we should try?
[06:29.920 --> 06:32.340]  I don't know, like when I
[06:32.340 --> 06:36.500]  had an issue with a much older panel, Liam sent me
[06:37.460 --> 06:40.340]  7.78. Yeah, let's try that.
[06:40.480 --> 06:44.500]  Do you have it on you still? Well, I've got
[06:44.500 --> 06:48.460]  I don't have the web version. I've got the Procom sys
[06:48.460 --> 06:52.040]  7.78 but not the Procom web sys.
[06:52.680 --> 06:54.800]  Let me see if I can find it.
[07:27.210 --> 07:29.150]  I don't think I have the right folder
[07:29.150 --> 07:32.050]  because I don't see all the versions of firmware.
[07:44.500 --> 07:45.540]  That one.
[08:02.280 --> 08:03.860]  So which one did it give you?
[08:03.940 --> 08:04.800]  1.70.
[08:07.260 --> 08:08.300]  7.78.
[08:11.140 --> 08:15.560]  You've got the web version of that. That's what I'm looking for.
[08:38.940 --> 08:39.500]  80.
